State,District,Population,Growth (%),Sex Ratio,Literacy (%)
Maharashtra,Thane,11060148,36.01,886,84.53
West Bengal,North Twenty Four Parganas,10009781,12.04,955,84.06
Karnataka,Bangalore,9621551,47.18,916,87.67
Maharashtra,Pune,9429408,30.37,915,86.15
Maharashtra,Mumbai Suburban,9356962,8.29,860,89.91
West Bengal,South Twenty Four Parganas,8161961,18.17,956,77.51
West Bengal,Barddhaman,7717563,11.92,945,76.21
Gujarat,Ahmadabad,7214225,24.03,904,85.31
West Bengal,Murshidabad,7103807,21.09,958,66.59
Rajasthan,Jaipur,6626178,26.19,910,75.51
Maharashtra,Nashik,6107187,22.3,934,82.31
Gujarat,Surat,6081322,42.24,787,85.53
Uttar Pradesh,Allahabad,5954391,20.63,901,72.32
West Bengal,Paschim Medinipur,5913457,13.86,966,78
Bihar,Patna,5838465,23.73,897,70.68
West Bengal,Hugli,5519145,9.46,961,81.8
Andhra Pradesh,Rangareddy,5296741,48.16,961,75.87
West Bengal,Nadia,5167600,12.22,947,74.97
Andhra Pradesh,East Godavari,5154296,5.16,1006,70.99
Bihar,Purbi Champaran,5099371,29.43,902,55.79
West Bengal,Purba Medinipur,5095875,15.36,938,87.02
Andhra Pradesh,Guntur,4887813,9.47,1003,67.4
West Bengal,Haora,4850029,13.5,939,83.31
Bihar,Muzaffarpur,4801062,28.14,900,63.43
Karnataka,Belgaum,4779661,13.41,973,73.48
Uttar Pradesh,Moradabad,4772006,25.22,906,56.77
Uttar Pradesh,Ghaziabad,4681645,42.27,881,78.07
Maharashtra,Nagpur,4653570,14.4,951,88.39
Tamil Nadu,Chennai,4646732,6.98,989,90.18
Uttar Pradesh,Azamgarh,4613913,17.11,1019,70.93
Uttar Pradesh,Lucknow,4589838,25.82,917,77.29
Uttar Pradesh,Kanpur Nagar,4581268,9.92,862,79.65
Maharashtra,Ahmadnagar,4543159,12.44,939,79.05
Andhra Pradesh,Krishna,4517398,7.87,992,73.74
West Bengal,Kolkata,4496694,-1.67,908,86.31
Uttar Pradesh,Jaunpur,4494204,14.89,1024,71.55
Bihar,Madhubani,4487379,25.51,926,58.62
Uttar Pradesh,Sitapur,4483992,23.88,888,61.12
Uttar Pradesh,Bareilly,4448359,22.93,887,58.49
Uttar Pradesh,Gorakhpur,4440895,17.81,950,70.83
Uttar Pradesh,Agra,4418797,22.05,868,71.58
Bihar,Gaya,4391418,26.43,937,63.67
Maharashtra,Solapur,4317756,12.16,938,77.02
Andhra Pradesh,Visakhapatnam,4290589,11.96,1006,66.91
Bihar,Samastipur,4261566,25.53,911,61.86
Maharashtra,Jalgaon,4229917,14.86,925,78.2
Andhra Pradesh,Chittoor,4174064,11.43,997,71.53
Gujarat,Vadodara,4165626,14.38,934,78.92
Uttar Pradesh,Muzaffarnagar,4143512,16.94,889,69.12
Kerala,Malappuram,4112920,13.45,1098,93.57
Uttar Pradesh,Hardoi,4092845,20.44,868,64.57
Andhra Pradesh,Anantapur,4081148,12.1,977,63.57
Chhattisgarh,Raipur,4063872,34.7,984,75.56
Andhra Pradesh,Kurnool,4053463,14.85,988,59.97
