State/UT,2021_Tested,2021_Positive,2021_Pf,2021_Deaths,2022_Tested,2022_Positive,2022_Pf,2022_Deaths,2023_Tested,2023_Positive,2023_Pf,2023_Deaths,2024_Tested,2024_Positive,2024_Pf,2024_Deaths,2025_Tested,2025_Positive,2025_Pf,2025_Deaths
Andaman And Nicobar Islands,35471,27,11,0,31737,50,20,0,38986,42,11,0,47413,96,46,0,42196,25,6,0
Andhra Pradesh,7336198,1315,1081,0,8653048,2022,1457,0,10294202,5268,4437,0,12364281,7866,6201,3,9595752,7072,5729,0
Arunachal Pradesh,109635,8,2,0,136563,18,3,0,168521,11,5,0,158497,19,2,0,144880,18,9,0
Assam,3575791,162,67,0,4139536,280,118,0,4712599,567,283,0,6510331,5036,1130,7,4567266,2843,393,8
Bihar,304635,647,154,0,176335,578,208,0,225722,1257,519,0,225687,906,380,0,252626,790,286,0
Chandigarh,28488,6,0,0,51828,2,0,0,56066,2,0,0,70924,2,0,0,62674,62,4,0
Chhattisgarh,4486737,29733,25827,38,5815212,30029,25902,20,6891223,31706,28167,15,7835708,31373,27300,18,5132710,21558,18877,0
Delhi,41253,167,29,0,46299,263,43,1,65633,344,41,1,224373,910,82,0,88775,697,174,3
Goa,179401,90,48,0,249449,587,244,0,319859,1346,488,0,406527,884,286,0,346583,243,42,0
Gujarat,14297050,4921,465,0,15192658,4785,518,0,17442857,4311,662,1,18109327,4365,698,1,13818940,2237,288,0
Haryana,2903143,54,1,0,3323816,52,1,0,3708401,85,5,0,3775769,522,30,0,2808021,473,15,0
Himachal Pradesh,160788,15,3,0,226943,12,2,0,274839,23,0,0,281499,28,2,0,234256,25,6,0
Jammu And Kashmir,311235,31,2,0,450767,35,1,0,485729,44,14,0,461482,108,21,0,313792,109,15,0
Jharkhand,4080420,14198,9689,0,9778246,19167,14963,4,5731625,34087,28990,2,6127645,42352,35016,0,5095816,27706,21354,2
Karnataka,8226194,913,182,2,11573428,289,34,0,13349842,275,61,2,14657160,740,114,3,11942337,546,151,0
Kerala,1531555,309,115,1,2576921,439,206,0,3076673,569,301,7,3331487,954,494,6,2677098,921,460,1
Ladakh,6,0,0,0,2,2,0,0,160,10,1,1,247,9,1,0,382,7,4,0
Lakshadweep,875,1,0,0,1893,0,0,0,1400,0,0,0,1455,1,1,0,1580,0,0,0
Madhya Pradesh,9864546,3181,1688,2,11031117,3826,2452,0,11530451,3794,2625,0,11899664,3247,2041,0,7489841,1715,952,0
Maharashtra,13367383,19303,11858,14,17353964,15451,8983,26,18931780,16159,6297,19,21623801,21078,8832,26,18870569,17901,6730,15
Manipur,185337,19,8,0,170729,30,10,0,77627,34,12,0,148178,43,11,0,148370,71,10,0
Meghalaya,449073,491,437,3,586579,479,446,8,662339,1755,1679,14,789799,673,602,4,648967,326,277,0
Mizoram,391199,8018,6146,10,461929,11156,8252,10,367855,18077,11628,13,307934,16899,8950,7,228872,7369,4158,7
Nagaland,149337,8,3,0,258973,9,4,0,249433,10,5,0,306539,12,3,0,199417,46,6,0
Odisha,6914758,25503,22594,13,8160202,23770,19295,5,9509933,41973,33684,4,10468801,68693,50501,8,8177398,55680,38875,6
Puducherry,14873,5,0,0,103037,0,0,0,147431,6,0,0,165198,4,3,0,128849,16,6,0
Punjab,2114155,71,5,0,2942145,119,8,2,2823429,75,7,0,2842710,379,33,0,2149460,265,6,0
Rajasthan,6632314,925,119,0,10339992,1565,112,1,10085307,2263,248,0,10558402,2213,665,1,8383152,979,205,0
Sikkim,7670,4,2,0,7920,8,3,0,9743,6,1,0,21985,7,2,0,14761,8,3,0
Tamil Nadu,9084732,772,67,0,11274448,354,71,0,12649263,385,84,0,12646221,347,96,0,9581052,252,76,1
Telangana,3527886,874,766,0,4952745,611,540,0,4868195,420,368,0,5081050,269,231,0,3926341,211,155,0
The Dadra And Nagar Haveli And Daman And Diu,124972,54,5,0,131198,111,16,0,146190,128,36,1,129983,207,29,0,85712,159,28,0
Tripura,927088,10136,9028,4,1181946,12771,9374,3,1584800,22412,12413,1,1185735,9738,4801,0,679976,5404,3221,0
Uttar Pradesh,4245089,10792,1464,0,8322741,7039,503,0,10672898,13603,1305,0,14512288,13477,998,0,13330095,11049,291,0
Uttarakhand,235005,13,6,0,695700,19,4,0,706891,24,3,0,721555,241,29,0,392048,167,39,0
West Bengal,8547685,28987,9694,3,11649846,40594,7277,3,12870741,26493,3565,2,13653675,21802,3841,2,10294303,14140,2404,4
India,114391977,161753,101566,90,152049892,176522,101070,83,164738643,227564,137945,83,181653330,255500,153472,86,141854867,181090,105255,47
